ID, Compulsory, Natural, Social
BD1200206 7.75 0 14.5
BD1200207 13.75 0 15.75
BD1200208 15.7 12.5 0
BD1200209 22.1 0 21
BD1200210 13.6 12.25 0
BD1200211 16.55 13.75 0
BD1200212 14.25 12.25 0
BD1200213 16.4 0 19
BD1200214 17.75 15.5 0
BD1200215 15.25 11.5 19.5
BD1200216 15.65 14.5 0
BD1200217 15.85 16.75 0
BD1200218 17.1 0 18.25
BD1200219 23.5 18 0
BD1200220 5.45 0 2.75
BD1200221 17.95 17.25 0
BD1200222 20.8 19.5 0
BD1200223 21.2 16.75 0
BD1200224 18.4 0 24
BD1200225 13.25 8 13.5
BD1200226 16.15 17 0
BD1200227 13.7 0 18
BD1200228 7.05 0 11
BD1200229 12.3 0 16.25
BD1200230 19.2 13.5 0
BD1200231 13.85 0 16
BD1200232 17.8 17 0
BD1200233 15.85 16.75 0
BD1200234 16.45 11 0
BD1200235 9.7 0 15
BD1200236 12.8 0 19.5
BD1200237 17.9 17.5 0
BD1200238 16.05 16.5 0
BD1200239 13.1 12.75 16.25
BD1200240 12.1 9.5 14
BD1200241 12.8 0 16.25
BD1200242 23.15 17.75 0
BD1200243 18.75 14.25 0
BD1200244 17.1 8.5 16.75
BD1200245 13.4 0 23
BD1200246 15.3 0 19.5
BD1200247 17.5 9.5 0
BD1200248 19 15 0
BD1200249 21 0 19.75
BD1200250 10.7 0 18.75
BD1200251 13.65 15.75 0
BD1200252 17.4 0 22.5
BD1200253 16.5 0 18.25
BD1200254 6.95 0 2.5
BD1200255 15.1 14.5 0
BD1200256 11.75 0 17.75
BD1200257 19.7 16 0
BD1200258 17.25 18.5 0
BD1200259 7.8 0 16.5
BD1200260 12.75 7.25 16.5
BD1200261 15.95 0 19.5
BD1200262 15.4 17.5 0
BD1200263 10.5 0 13.25
BD1200264 13.4 0 11
BD1200265 13.1 8 14.25
BD1200266 11.3 0 18.75
BD1200267 11 0 14
BD1200268 19.5 20 0
BD1200269 7.2 0 10
BD1200270 15 0 16
BD1200271 16.2 13.75 22.25
BD1200272 16.3 0 14.75
BD1200273 20.45 15.5 0
BD1200274 13.55 0 17.5
BD1200275 17.9 0 17
BD1200276 18.65 19.5 0
BD1200277 16.8 14.25 0
BD1200278 20 0 18.25
BD1200279 12.85 0 17.5
BD1200280 18.45 0 17.5
BD1200281 18.2 11 0
BD1200282 16.35 16.75 0
BD1200283 21.6 13.5 22
BD1200284 22.3 17 0
BD1200285 16.25 18.5 0
BD1200286 16.4 12.25 0
BD1200287 16.1 0 14
BD1200288 17.8 0 19
BD1200289 4.6 11.75 0
BD1200290 17.5 13.75 0
BD1200291 18.6 18.5 20.75
BD1200292 16.95 13.75 0
BD1200293 15.8 0 21.25
BD1200294 17.25 18.75 0
BD1200295 15.55 0 18.75
